,,LEASE,PERIOD,GROSS OIL,GROSS GAS,GROSS WTR
Foraker 1207 #5WH-11,153,,,,,
Foraker 1207 #6UMH-11,0,FORAKER 1207 6UMH-11,2019-04-04,150.38,0.0,0.0
Foraker 1207 #6UMH-11,1,FORAKER 1207 6UMH-11,2019-04-05,208.87,185.0,37.0
Foraker 1207 #6UMH-11,2,FORAKER 1207 6UMH-11,2019-04-06,916.25,461.0,350.0
Foraker 1207 #6UMH-11,3,FORAKER 1207 6UMH-11,2019-04-07,1096.56,1191.0,601.0
Foraker 1207 #6UMH-11,4,FORAKER 1207 6UMH-11,2019-04-08,1183.6,1629.0,716.0
Foraker 1207 #6UMH-11,5,FORAKER 1207 6UMH-11,2019-04-09,1144.61,1785.0,772.0
Foraker 1207 #6UMH-11,6,FORAKER 1207 6UMH-11,2019-04-10,1187.78,1756.0,707.0
Foraker 1207 #6UMH-11,7,FORAKER 1207 6UMH-11,2019-04-11,1575.56,1781.0,693.0
Foraker 1207 #6UMH-11,8,FORAKER 1207 6UMH-11,2019-04-12,1260.21,2064.0,737.0
Foraker 1207 #6UMH-11,9,FORAKER 1207 6UMH-11,2019-04-13,1482.25,2326.0,738.0
Foraker 1207 #6UMH-11,10,FORAKER 1207 6UMH-11,2019-04-14,1361.85,2516.0,683.0
Foraker 1207 #6UMH-11,11,FORAKER 1207 6UMH-11,2019-04-15,1372.97,2648.0,796.0
Foraker 1207 #6UMH-11,12,FORAKER 1207 6UMH-11,2019-04-16,1316.58,2763.0,546.0
Foraker 1207 #6UMH-11,13,FORAKER 1207 6UMH-11,2019-04-17,1275.49,2877.0,503.0
Foraker 1207 #6UMH-11,14,FORAKER 1207 6UMH-11,2019-04-18,1258.79,2964.0,466.0
Foraker 1207 #6UMH-11,15,FORAKER 1207 6UMH-11,2019-04-19,1230.92,3232.0,443.0
Foraker 1207 #6UMH-11,16,FORAKER 1207 6UMH-11,2019-04-20,1182.21,3509.0,418.0
Foraker 1207 #6UMH-11,17,FORAKER 1207 6UMH-11,2019-04-21,1147.37,3631.0,376.0
Foraker 1207 #6UMH-11,18,FORAKER 1207 6UMH-11,2019-04-22,1074.97,3779.0,377.0
Foraker 1207 #6UMH-11,19,FORAKER 1207 6UMH-11,2019-04-23,1024.85,3976.0,359.0
Foraker 1207 #6UMH-11,20,FORAKER 1207 6UMH-11,2019-04-24,993.54,3632.0,408.0
Foraker 1207 #6UMH-11,21,FORAKER 1207 6UMH-11,2019-04-25,1003.27,4059.0,373.0
Foraker 1207 #6UMH-11,22,FORAKER 1207 6UMH-11,2019-04-26,961.5,4415.0,324.0
Foraker 1207 #6UMH-11,23,FORAKER 1207 6UMH-11,2019-04-27,930.87,4577.0,324.0
Foraker 1207 #6UMH-11,24,FORAKER 1207 6UMH-11,2019-04-28,903.7,4662.0,315.0
Foraker 1207 #6UMH-11,25,FORAKER 1207 6UMH-11,2019-04-29,856.36,4808.0,314.0
Foraker 1207 #6UMH-11,26,FORAKER 1207 6UMH-11,2019-04-30,827.82,4697.0,298.0
Foraker 1207 #6UMH-11,27,FORAKER 1207 6UMH-11,2019-05-01,788.13,4815.0,287.0
Foraker 1207 #6UMH-11,28,FORAKER 1207 6UMH-11,2019-05-02,735.91,4710.0,277.0
Foraker 1207 #6UMH-11,29,FORAKER 1207 6UMH-11,2019-05-03,715.73,4642.0,260.0
Foraker 1207 #6UMH-11,30,FORAKER 1207 6UMH-11,2019-05-04,676.73,4683.0,249.0
Foraker 1207 #6UMH-11,31,FORAKER 1207 6UMH-11,2019-05-05,654.47,4523.0,235.0
Foraker 1207 #6UMH-11,32,FORAKER 1207 6UMH-11,2019-05-06,647.48,4559.0,234.0
Foraker 1207 #6UMH-11,33,FORAKER 1207 6UMH-11,2019-05-07,616.87,4722.0,234.0
Foraker 1207 #6UMH-11,34,FORAKER 1207 6UMH-11,2019-05-08,586.91,4655.0,225.0
Foraker 1207 #6UMH-11,35,FORAKER 1207 6UMH-11,2019-05-09,564.64,4665.0,222.0
Foraker 1207 #6UMH-11,36,FORAKER 1207 6UMH-11,2019-05-10,541.68,4648.0,212.0
Foraker 1207 #6UMH-11,37,FORAKER 1207 6UMH-11,2019-05-11,527.73,4541.0,203.0
Foraker 1207 #6UMH-11,38,FORAKER 1207 6UMH-11,2019-05-12,516.6,4443.0,193.0
Foraker 1207 #6UMH-11,39,FORAKER 1207 6UMH-11,2019-05-13,483.87,4556.0,195.0
Foraker 1207 #6UMH-11,40,FORAKER 1207 6UMH-11,2019-05-14,484.57,4351.0,181.0
Foraker 1207 #6UMH-11,41,FORAKER 1207 6UMH-11,2019-05-15,453.24,4468.0,184.0
Foraker 1207 #6UMH-11,42,FORAKER 1207 6UMH-11,2019-05-16,453.95,4368.0,175.0
Foraker 1207 #6UMH-11,43,FORAKER 1207 6UMH-11,2019-05-17,427.48,4373.0,172.0
Foraker 1207 #6UMH-11,44,FORAKER 1207 6UMH-11,2019-05-18,415.65,4339.0,169.0
Foraker 1207 #6UMH-11,45,FORAKER 1207 6UMH-11,2019-05-19,413.56,4231.0,163.0
Foraker 1207 #6UMH-11,46,FORAKER 1207 6UMH-11,2019-05-20,381.53,4259.0,166.0
Foraker 1207 #6UMH-11,47,FORAKER 1207 6UMH-11,2019-05-21,385.72,4206.0,156.0
Foraker 1207 #6UMH-11,48,FORAKER 1207 6UMH-11,2019-05-22,374.57,4153.0,155.0
Foraker 1207 #6UMH-11,49,FORAKER 1207 6UMH-11,2019-05-23,357.16,4351.0,153.0
Foraker 1207 #6UMH-11,50,FORAKER 1207 6UMH-11,2019-05-24,334.19,3700.0,142.0
Foraker 1207 #6UMH-11,51,FORAKER 1207 6UMH-11,2019-05-25,327.24,4023.0,130.0
Foraker 1207 #6UMH-11,52,FORAKER 1207 6UMH-11,2019-05-26,346.02,3902.0,125.0
Foraker 1207 #6UMH-11,53,FORAKER 1207 6UMH-11,2019-05-27,342.55,3925.0,131.0
Foraker 1207 #6UMH-11,54,FORAKER 1207 6UMH-11,2019-05-28,317.48,3981.0,136.0
Foraker 1207 #6UMH-11,55,FORAKER 1207 6UMH-11,2019-05-29,316.79,3832.0,140.0
Foraker 1207 #6UMH-11,56,FORAKER 1207 6UMH-11,2019-05-30,309.12,3756.0,132.0
Foraker 1207 #6UMH-11,57,FORAKER 1207 6UMH-11,2019-05-31,281.28,3863.0,136.0
Foraker 1207 #6UMH-11,58,FORAKER 1207 6UMH-11,2019-06-01,286.85,3755.0,130.0
Foraker 1207 #6UMH-11,59,FORAKER 1207 6UMH-11,2019-06-02,267.36,3694.0,122.0
Foraker 1207 #6UMH-11,60,FORAKER 1207 6UMH-11,2019-06-03,292.41,3686.0,126.0
Foraker 1207 #6UMH-11,61,FORAKER 1207 6UMH-11,2019-06-04,272.92,3797.0,121.0
Foraker 1207 #6UMH-11,62,FORAKER 1207 6UMH-11,2019-06-05,239.5,3648.0,115.0
Foraker 1207 #6UMH-11,63,FORAKER 1207 6UMH-11,2019-06-06,240.91,3652.0,117.0
Foraker 1207 #6UMH-11,64,FORAKER 1207 6UMH-11,2019-06-07,300.77,3759.0,121.0
Foraker 1207 #6UMH-11,65,FORAKER 1207 6UMH-11,2019-06-08,242.99,3559.0,124.0
Foraker 1207 #6UMH-11,66,FORAKER 1207 6UMH-11,2019-06-09,247.86,3790.0,118.0
Foraker 1207 #6UMH-11,67,FORAKER 1207 6UMH-11,2019-06-10,298.68,3386.0,113.0
Foraker 1207 #6UMH-11,68,FORAKER 1207 6UMH-11,2019-06-11,213.75,3918.0,116.0
Foraker 1207 #6UMH-11,69,FORAKER 1207 6UMH-11,2019-06-12,247.16,3918.0,129.0
Foraker 1207 #6UMH-11,70,FORAKER 1207 6UMH-11,2019-06-13,236.03,4006.0,123.0
Foraker 1207 #6UMH-11,71,FORAKER 1207 6UMH-11,2019-06-14,238.81,3925.0,120.0
Foraker 1207 #6UMH-11,72,FORAKER 1207 6UMH-11,2019-06-15,228.37,4011.0,125.0
Foraker 1207 #6UMH-11,73,FORAKER 1207 6UMH-11,2019-06-16,269.44,4032.0,127.0
Foraker 1207 #6UMH-11,74,FORAKER 1207 6UMH-11,2019-06-17,210.26,4315.0,115.0
Foraker 1207 #6UMH-11,75,FORAKER 1207 6UMH-11,2019-06-18,203.99,4065.0,132.0
Foraker 1207 #6UMH-11,76,FORAKER 1207 6UMH-11,2019-06-19,195.64,3762.0,115.0
Foraker 1207 #6UMH-11,77,FORAKER 1207 6UMH-11,2019-06-20,217.23,3626.0,116.0
Foraker 1207 #6UMH-11,78,FORAKER 1207 6UMH-11,2019-06-21,188.68,4539.0,119.0
Foraker 1207 #6UMH-11,79,FORAKER 1207 6UMH-11,2019-06-22,204.0,3395.0,110.0
Foraker 1207 #6UMH-11,80,FORAKER 1207 6UMH-11,2019-06-23,165.7,4358.0,110.0
Foraker 1207 #6UMH-11,81,FORAKER 1207 6UMH-11,2019-06-24,194.25,2927.0,112.0
Foraker 1207 #6UMH-11,82,FORAKER 1207 6UMH-11,2019-06-25,181.02,3780.0,113.0
Foraker 1207 #6UMH-11,83,FORAKER 1207 6UMH-11,2019-06-26,175.45,3802.0,108.0
Foraker 1207 #6UMH-11,84,FORAKER 1207 6UMH-11,2019-06-27,0.0,3587.0,106.0
Foraker 1207 #6UMH-11,85,FORAKER 1207 6UMH-11,2019-07-01,163.61,3823.0,109.0
Foraker 1207 #6UMH-11,86,FORAKER 1207 6UMH-11,2019-07-02,132.98,2935.0,103.0
Foraker 1207 #6UMH-11,87,FORAKER 1207 6UMH-11,2019-07-03,148.99,3564.0,101.0
Foraker 1207 #6UMH-11,88,FORAKER 1207 6UMH-11,2019-07-04,144.12,3493.0,98.0
Foraker 1207 #6UMH-11,89,FORAKER 1207 6UMH-11,2019-07-05,176.85,3438.0,95.0
Foraker 1207 #6UMH-11,90,FORAKER 1207 6UMH-11,2019-07-06,154.56,3875.0,97.0
Foraker 1207 #6UMH-11,91,FORAKER 1207 6UMH-11,2019-07-07,121.84,3351.0,103.0
Foraker 1207 #6UMH-11,92,FORAKER 1207 6UMH-11,2019-07-08,120.45,3330.0,99.0
Foraker 1207 #6UMH-11,93,FORAKER 1207 6UMH-11,2019-07-09,189.37,3054.0,90.0
Foraker 1207 #6UMH-11,94,FORAKER 1207 6UMH-11,2019-07-10,137.85,3125.0,79.0
Foraker 1207 #6UMH-11,95,FORAKER 1207 6UMH-11,2019-07-11,155.27,3202.0,84.0
Foraker 1207 #6UMH-11,96,FORAKER 1207 6UMH-11,2019-07-12,164.31,3569.0,87.0
Foraker 1207 #6UMH-11,97,FORAKER 1207 6UMH-11,2019-07-13,147.6,3559.0,94.0
Foraker 1207 #6UMH-11,98,FORAKER 1207 6UMH-11,2019-07-14,103.74,3454.0,94.0
Foraker 1207 #6UMH-11,99,FORAKER 1207 6UMH-11,2019-07-15,130.2,2569.0,82.0
Foraker 1207 #6UMH-11,100,FORAKER 1207 6UMH-11,2019-07-16,126.7,2778.0,77.0
Foraker 1207 #6UMH-11,101,FORAKER 1207 6UMH-11,2019-07-17,112.1,3207.0,81.0
Foraker 1207 #6UMH-11,102,FORAKER 1207 6UMH-11,2019-07-18,137.85,3043.0,73.0
Foraker 1207 #6UMH-11,103,FORAKER 1207 6UMH-11,2019-07-19,139.25,3050.0,84.0
Foraker 1207 #6UMH-11,104,FORAKER 1207 6UMH-11,2019-07-20,131.58,3110.0,84.0
Foraker 1207 #6UMH-11,105,FORAKER 1207 6UMH-11,2019-07-21,102.35,3139.0,83.0
Foraker 1207 #6UMH-11,106,FORAKER 1207 6UMH-11,2019-07-22,91.9,3165.0,77.0
Foraker 1207 #6UMH-11,107,FORAKER 1207 6UMH-11,2019-07-23,124.62,3166.68,82.25
Foraker 1207 #6UMH-11,108,FORAKER 1207 6UMH-11,2019-07-24,127.42,3123.78,81.82
Foraker 1207 #6UMH-11,109,FORAKER 1207 6UMH-11,2019-07-25,135.76,3094.38,82.26
Foraker 1207 #6UMH-11,110,FORAKER 1207 6UMH-11,2019-07-26,115.57,2998.33,71.97
Foraker 1207 #6UMH-11,111,FORAKER 1207 6UMH-11,2019-07-27,108.62,2940.28,80.85
Foraker 1207 #6UMH-11,112,FORAKER 1207 6UMH-11,2019-07-28,113.49,2900.07,76.87
Foraker 1207 #6UMH-11,113,FORAKER 1207 6UMH-11,2019-07-29,110.0,2846.93,79.93
Foraker 1207 #6UMH-11,114,FORAKER 1207 6UMH-11,2019-07-30,100.95,2761.88,66.06
Foraker 1207 #6UMH-11,115,FORAKER 1207 6UMH-11,2019-07-31,108.61,2677.16,57.67
Foraker 1207 #6UMH-11,116,,,,,
Foraker 1207 #6UMH-11,117,,,,,
Foraker 1207 #6UMH-11,118,,,,,
Foraker 1207 #6UMH-11,119,,,,,
Foraker 1207 #6UMH-11,120,,,,,
Foraker 1207 #6UMH-11,121,,,,,
Foraker 1207 #6UMH-11,122,,,,,
Foraker 1207 #6UMH-11,123,,,,,
Foraker 1207 #6UMH-11,124,,,,,
Foraker 1207 #6UMH-11,125,,,,,
Foraker 1207 #6UMH-11,126,,,,,
Foraker 1207 #6UMH-11,127,,,,,
Foraker 1207 #6UMH-11,128,,,,,
Foraker 1207 #6UMH-11,129,,,,,
Foraker 1207 #6UMH-11,130,,,,,
Foraker 1207 #6UMH-11,131,,,,,
Foraker 1207 #6UMH-11,132,,,,,
Foraker 1207 #6UMH-11,133,,,,,
Foraker 1207 #6UMH-11,134,,,,,
Foraker 1207 #6UMH-11,135,,,,,
Foraker 1207 #6UMH-11,136,,,,,
Foraker 1207 #6UMH-11,137,,,,,
Foraker 1207 #6UMH-11,138,,,,,
Foraker 1207 #6UMH-11,139,,,,,
Foraker 1207 #6UMH-11,140,,,,,
Foraker 1207 #6UMH-11,141,,,,,
Foraker 1207 #6UMH-11,142,,,,,
Foraker 1207 #6UMH-11,143,,,,,
Foraker 1207 #6UMH-11,144,,,,,
Foraker 1207 #6UMH-11,145,,,,,
Foraker 1207 #6UMH-11,146,,,,,
Foraker 1207 #6UMH-11,147,,,,,
Foraker 1207 #7SMH-11,0,FORAKER 1207 7SMH-11,2019-04-06,164.26,112.0,313.0
Foraker 1207 #7SMH-11,1,FORAKER 1207 7SMH-11,2019-04-07,264.5,446.0,1299.0
Foraker 1207 #7SMH-11,2,FORAKER 1207 7SMH-11,2019-04-08,381.33,805.0,1611.0
Foraker 1207 #7SMH-11,3,FORAKER 1207 7SMH-11,2019-04-09,437.1,945.0,1639.0
Foraker 1207 #7SMH-11,4,FORAKER 1207 7SMH-11,2019-04-10,550.45,1219.0,1598.0
Foraker 1207 #7SMH-11,5,FORAKER 1207 7SMH-11,2019-04-11,659.06,1382.0,1520.0
Foraker 1207 #7SMH-11,6,FORAKER 1207 7SMH-11,2019-04-12,759.26,1619.0,1647.0
Foraker 1207 #7SMH-11,7,FORAKER 1207 7SMH-11,2019-04-13,821.23,1733.0,1637.0
Foraker 1207 #7SMH-11,8,FORAKER 1207 7SMH-11,2019-04-14,986.08,1944.0,1568.0
Foraker 1207 #7SMH-11,9,FORAKER 1207 7SMH-11,2019-04-15,1059.26,2439.0,1631.0
Foraker 1207 #7SMH-11,10,FORAKER 1207 7SMH-11,2019-04-16,1020.41,2726.0,1587.0
Foraker 1207 #7SMH-11,11,FORAKER 1207 7SMH-11,2019-04-17,977.22,2900.0,1393.0
Foraker 1207 #7SMH-11,12,FORAKER 1207 7SMH-11,2019-04-18,944.52,2944.0,1233.0
Foraker 1207 #7SMH-11,13,FORAKER 1207 7SMH-11,2019-04-19,910.41,2987.0,1117.0
Foraker 1207 #7SMH-11,14,FORAKER 1207 7SMH-11,2019-04-20,879.12,3025.0,975.0
Foraker 1207 #7SMH-11,15,FORAKER 1207 7SMH-11,2019-04-21,840.7,2977.0,940.0
Foraker 1207 #7SMH-11,16,FORAKER 1207 7SMH-11,2019-04-22,813.66,2979.0,854.0
Foraker 1207 #7SMH-11,17,FORAKER 1207 7SMH-11,2019-04-23,781.64,3009.0,806.0
Foraker 1207 #7SMH-11,18,FORAKER 1207 7SMH-11,2019-04-24,738.45,2865.0,758.0
Foraker 1207 #7SMH-11,19,FORAKER 1207 7SMH-11,2019-04-25,709.95,3001.0,711.0
Foraker 1207 #7SMH-11,20,FORAKER 1207 7SMH-11,2019-04-26,673.07,3015.0,670.0
Foraker 1207 #7SMH-11,21,FORAKER 1207 7SMH-11,2019-04-27,658.4,3003.0,645.0
Foraker 1207 #7SMH-11,22,FORAKER 1207 7SMH-11,2019-04-28,631.32,3006.0,609.0
Foraker 1207 #7SMH-11,23,FORAKER 1207 7SMH-11,2019-04-29,609.03,2958.0,581.0
Foraker 1207 #7SMH-11,24,FORAKER 1207 7SMH-11,2019-04-30,588.85,2904.0,560.0
Foraker 1207 #7SMH-11,25,FORAKER 1207 7SMH-11,2019-05-01,576.31,3238.0,528.0
Foraker 1207 #7SMH-11,26,FORAKER 1207 7SMH-11,2019-05-02,546.39,2971.0,518.0
Foraker 1207 #7SMH-11,27,FORAKER 1207 7SMH-11,2019-05-03,531.7,2981.0,491.0
Foraker 1207 #7SMH-11,28,FORAKER 1207 7SMH-11,2019-05-04,507.26,2928.0,472.0
Foraker 1207 #7SMH-11,29,FORAKER 1207 7SMH-11,2019-05-05,494.17,2907.0,447.0
Foraker 1207 #7SMH-11,30,FORAKER 1207 7SMH-11,2019-05-06,481.59,2876.0,423.0
Foraker 1207 #7SMH-11,31,FORAKER 1207 7SMH-11,2019-05-07,470.52,2831.0,407.0
Foraker 1207 #7SMH-11,32,FORAKER 1207 7SMH-11,2019-05-08,459.34,2837.0,419.0
Foraker 1207 #7SMH-11,33,FORAKER 1207 7SMH-11,2019-05-09,438.49,2903.0,403.0
Foraker 1207 #7SMH-11,34,FORAKER 1207 7SMH-11,2019-05-10,426.55,2851.0,384.0
Foraker 1207 #7SMH-11,35,FORAKER 1207 7SMH-11,2019-05-11,431.51,2795.0,374.0
Foraker 1207 #7SMH-11,36,FORAKER 1207 7SMH-11,2019-05-12,409.19,2887.0,372.0
Foraker 1207 #7SMH-11,37,FORAKER 1207 7SMH-11,2019-05-13,407.09,2881.0,363.0
Foraker 1207 #7SMH-11,38,FORAKER 1207 7SMH-11,2019-05-14,393.88,2934.0,357.0
Foraker 1207 #7SMH-11,39,FORAKER 1207 7SMH-11,2019-05-15,368.81,2928.0,349.0
Foraker 1207 #7SMH-11,40,FORAKER 1207 7SMH-11,2019-05-16,369.51,2816.0,322.0
Foraker 1207 #7SMH-11,41,FORAKER 1207 7SMH-11,2019-05-17,357.75,2794.0,319.0
Foraker 1207 #7SMH-11,42,FORAKER 1207 7SMH-11,2019-05-18,342.47,2760.0,303.0
Foraker 1207 #7SMH-11,43,FORAKER 1207 7SMH-11,2019-05-19,332.7,2718.0,302.0
Foraker 1207 #7SMH-11,44,FORAKER 1207 7SMH-11,2019-05-20,313.83,2660.0,290.0
Foraker 1207 #7SMH-11,45,FORAKER 1207 7SMH-11,2019-05-21,322.93,2618.0,285.0
Foraker 1207 #7SMH-11,46,FORAKER 1207 7SMH-11,2019-05-22,309.7,2632.0,281.0
Foraker 1207 #7SMH-11,47,FORAKER 1207 7SMH-11,2019-05-23,307.58,2732.0,294.0
Foraker 1207 #7SMH-11,48,FORAKER 1207 7SMH-11,2019-05-24,284.02,2374.0,265.0
Foraker 1207 #7SMH-11,49,FORAKER 1207 7SMH-11,2019-05-25,265.1,2589.0,239.0
Foraker 1207 #7SMH-11,50,FORAKER 1207 7SMH-11,2019-05-26,315.25,2524.0,232.0
Foraker 1207 #7SMH-11,51,FORAKER 1207 7SMH-11,2019-05-27,286.07,2517.0,232.0
Foraker 1207 #7SMH-11,52,FORAKER 1207 7SMH-11,2019-05-28,270.76,2613.0,237.0
Foraker 1207 #7SMH-11,53,FORAKER 1207 7SMH-11,2019-05-29,274.24,2420.0,245.0
Foraker 1207 #7SMH-11,54,FORAKER 1207 7SMH-11,2019-05-30,266.59,2445.0,213.0
Foraker 1207 #7SMH-11,55,FORAKER 1207 7SMH-11,2019-05-31,250.57,2398.0,219.0
Foraker 1207 #7SMH-11,56,FORAKER 1207 7SMH-11,2019-06-01,253.36,2395.0,218.0
Foraker 1207 #7SMH-11,57,FORAKER 1207 7SMH-11,2019-06-02,235.26,2367.0,216.0
Foraker 1207 #7SMH-11,58,FORAKER 1207 7SMH-11,2019-06-03,253.36,2366.0,215.0
Foraker 1207 #7SMH-11,59,FORAKER 1207 7SMH-11,2019-06-04,236.65,2376.0,226.0
Foraker 1207 #7SMH-11,60,FORAKER 1207 7SMH-11,2019-06-05,214.37,2336.0,205.0
Foraker 1207 #7SMH-11,61,FORAKER 1207 7SMH-11,2019-06-06,211.61,2333.0,191.0
Foraker 1207 #7SMH-11,62,FORAKER 1207 7SMH-11,2019-06-07,247.67,2345.0,200.0
Foraker 1207 #7SMH-11,63,FORAKER 1207 7SMH-11,2019-06-08,215.02,2203.0,200.0
Foraker 1207 #7SMH-11,64,FORAKER 1207 7SMH-11,2019-06-09,208.76,2200.0,193.0
Foraker 1207 #7SMH-11,65,FORAKER 1207 7SMH-11,2019-06-10,224.07,2240.0,174.0
Foraker 1207 #7SMH-11,66,FORAKER 1207 7SMH-11,2019-06-11,217.1,2334.0,184.0
Foraker 1207 #7SMH-11,67,FORAKER 1207 7SMH-11,2019-06-12,208.75,2308.0,188.0
Foraker 1207 #7SMH-11,68,FORAKER 1207 7SMH-11,2019-06-13,205.97,2327.0,180.0
Foraker 1207 #7SMH-11,69,FORAKER 1207 7SMH-11,2019-06-14,203.93,2299.0,174.0
Foraker 1207 #7SMH-11,70,FORAKER 1207 7SMH-11,2019-06-15,184.41,2300.0,172.0
Foraker 1207 #7SMH-11,71,FORAKER 1207 7SMH-11,2019-06-16,208.06,2264.0,175.0
Foraker 1207 #7SMH-11,72,FORAKER 1207 7SMH-11,2019-06-17,187.88,2342.0,153.0
Foraker 1207 #7SMH-11,73,FORAKER 1207 7SMH-11,2019-06-18,178.84,2141.0,165.0
Foraker 1207 #7SMH-11,74,FORAKER 1207 7SMH-11,2019-06-19,173.27,2089.0,165.0
Foraker 1207 #7SMH-11,75,FORAKER 1207 7SMH-11,2019-06-20,183.7,2012.0,160.0
Foraker 1207 #7SMH-11,76,FORAKER 1207 7SMH-11,2019-06-21,170.49,2519.0,154.0
Foraker 1207 #7SMH-11,77,FORAKER 1207 7SMH-11,2019-06-22,191.4,1912.0,178.0
Foraker 1207 #7SMH-11,78,FORAKER 1207 7SMH-11,2019-06-23,141.26,2439.0,152.0
Foraker 1207 #7SMH-11,79,FORAKER 1207 7SMH-11,2019-06-24,167.0,1653.0,149.0
Foraker 1207 #7SMH-11,80,FORAKER 1207 7SMH-11,2019-06-25,169.1,2111.0,143.0
Foraker 1207 #7SMH-11,81,FORAKER 1207 7SMH-11,2019-06-26,162.13,2096.0,136.0
Foraker 1207 #7SMH-11,82,FORAKER 1207 7SMH-11,2019-06-27,0.0,2043.0,142.0
Foraker 1207 #7SMH-11,83,FORAKER 1207 7SMH-11,,112.76,2159.0,136.0
Foraker 1207 #7SMH-11,84,FORAKER 1207 7SMH-11,,155.9,1683.0,132.0
Foraker 1207 #7SMH-11,85,FORAKER 1207 7SMH-11,,142.65,2065.0,127.0
Foraker 1207 #7SMH-11,86,FORAKER 1207 7SMH-11,,143.34,2048.0,125.0
Foraker 1207 #7SMH-11,87,FORAKER 1207 7SMH-11,,157.96,2045.0,123.0
Foraker 1207 #7SMH-11,88,FORAKER 1207 7SMH-11,,142.69,2293.0,122.0
Foraker 1207 #7SMH-11,89,FORAKER 1207 7SMH-11,,100.21,1952.0,119.0
Foraker 1207 #7SMH-11,90,FORAKER 1207 7SMH-11,,123.16,1970.0,117.0
Foraker 1207 #7SMH-11,91,FORAKER 1207 7SMH-11,,121.78,1871.0,117.0
Foraker 1207 #7SMH-11,92,FORAKER 1207 7SMH-11,,123.86,1947.0,114.0
Foraker 1207 #7SMH-11,93,FORAKER 1207 7SMH-11,,141.34,1990.0,115.0
Foraker 1207 #7SMH-11,94,FORAKER 1207 7SMH-11,,141.3,2154.0,109.0
Foraker 1207 #7SMH-11,95,FORAKER 1207 7SMH-11,,116.91,2255.0,111.0
Foraker 1207 #7SMH-11,96,FORAKER 1207 7SMH-11,,94.67,1818.0,110.0
Foraker 1207 #7SMH-11,97,FORAKER 1207 7SMH-11,,120.42,1505.0,110.0
Foraker 1207 #7SMH-11,98,FORAKER 1207 7SMH-11,,120.42,1602.0,109.0
Foraker 1207 #7SMH-11,99,FORAKER 1207 7SMH-11,,107.85,1873.0,106.0
Foraker 1207 #7SMH-11,100,FORAKER 1207 7SMH-11,,129.43,1787.0,100.0
Foraker 1207 #7SMH-11,101,FORAKER 1207 7SMH-11,,119.02,1781.0,103.0
Foraker 1207 #7SMH-11,102,FORAKER 1207 7SMH-11,,116.93,1773.0,104.0
Foraker 1207 #7SMH-11,103,FORAKER 1207 7SMH-11,,90.48,1770.0,102.0
Foraker 1207 #7SMH-11,104,FORAKER 1207 7SMH-11,,84.2,1766.0,102.0
Foraker 1207 #7SMH-11,105,FORAKER 1207 7SMH-11,,105.07,1761.16,101.34
Foraker 1207 #7SMH-11,106,FORAKER 1207 7SMH-11,,115.52,1773.68,98.79
Foraker 1207 #7SMH-11,107,FORAKER 1207 7SMH-11,,151.01,1777.55,98.76
Foraker 1207 #7SMH-11,108,FORAKER 1207 7SMH-11,,85.59,1762.81,96.87
Foraker 1207 #7SMH-11,109,FORAKER 1207 7SMH-11,,105.08,1754.82,94.52
Foraker 1207 #7SMH-11,110,FORAKER 1207 7SMH-11,,103.7,1738.83,90.23
Foraker 1207 #7SMH-11,111,FORAKER 1207 7SMH-11,,105.8,1716.37,89.14
Foraker 1207 #7SMH-11,112,FORAKER 1207 7SMH-11,,93.96,1677.6,91.69
Foraker 1207 #7SMH-11,113,FORAKER 1207 7SMH-11,,100.23,1671.21,94.12
Foraker 1207 #7SMH-11,114,,,,,
Foraker 1207 #7SMH-11,115,,,,,
Foraker 1207 #7SMH-11,116,,,,,
Foraker 1207 #7SMH-11,117,,,,,
Foraker 1207 #7SMH-11,118,,,,,
Foraker 1207 #7SMH-11,119,,,,,
Foraker 1207 #7SMH-11,120,,,,,
Foraker 1207 #7SMH-11,121,,,,,
Foraker 1207 #7SMH-11,122,,,,,
Foraker 1207 #7SMH-11,123,,,,,
Foraker 1207 #7SMH-11,124,,,,,
Foraker 1207 #7SMH-11,125,,,,,
Foraker 1207 #7SMH-11,126,,,,,
Foraker 1207 #7SMH-11,127,,,,,
Foraker 1207 #7SMH-11,128,,,,,
Foraker 1207 #7SMH-11,129,,,,,
Foraker 1207 #7SMH-11,130,,,,,
Foraker 1207 #7SMH-11,131,,,,,
Foraker 1207 #7SMH-11,132,,,,,
Foraker 1207 #7SMH-11,133,,,,,
Foraker 1207 #7SMH-11,134,,,,,
Foraker 1207 #7SMH-11,135,,,,,
Foraker 1207 #7SMH-11,136,,,,,
Foraker 1207 #7SMH-11,137,,,,,
Foraker 1207 #7SMH-11,138,,,,,
Foraker 1207 #7SMH-11,139,,,,,
Foraker 1207 #7SMH-11,140,,,,,
Foraker 1207 #7SMH-11,141,,,,,
Foraker 1207 #7SMH-11,142,,,,,
Foraker 1207 #7SMH-11,143,,,,,
Foraker 1207 #7SMH-11,144,,,,,
Foraker 1207 #7SMH-11,145,,,,,
Foraker 1207 #7SMH-11,146,,,,,
Foraker 1207 #7SMH-11,147,,,,,
Foraker 1207 #7SMH-11,148,,,,,
Foraker 1207 #8UMH-11,0,FORAKER 1207 8UMH-11,2019-04-05,424.68,0.0,0.0
Foraker 1207 #8UMH-11,1,FORAKER 1207 8UMH-11,2019-04-06,951.55,465.0,402.0
