,Well,Period,OIL,GAS,Delta Days,Gross WTR,Liquid Rate,Cum Oil,Cum Gas,Cum WTR,Cum Liquid,WCT,GOR,MBT Qo,MBT Qw,MBT Ql,Days Online,BHP AVG
1071,FORAKER 1207 3WH-11,2019-10-12,0.0,309.7,1,,0.0,24375.969999999987,232224.67,103313.73412727269,127689.70412727282,,,,,,200.0,
1072,FORAKER 1207 3WH-11,2019-10-13,0.0,0.0,-43751,,0.0,24375.969999999987,232224.67,103313.73412727269,127689.70412727282,,,,,,201.0,
1073,FORAKER 1207 4LMH-11,2019-04-01,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1074,FORAKER 1207 4LMH-11,2019-04-02,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1075,FORAKER 1207 4LMH-11,2019-04-03,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1076,FORAKER 1207 4LMH-11,2019-04-04,66.14,139.22,1,242.21999999999994,308.35999999999996,66.14,139.22,242.21999999999994,308.35999999999996,78.55104423401218,2.104928938615059,1.0,1.0,1.0,1.0,4063.0
1077,FORAKER 1207 4LMH-11,2019-04-05,233.93,144.0,1,767.0299999999999,1000.9599999999998,300.07,283.22,1009.2499999999998,1309.3199999999997,76.62943574168798,0.6155687598854358,1.2827341512418244,1.3157894736842104,1.3080642583120203,2.0,3738.0
1078,FORAKER 1207 4LMH-11,2019-04-06,337.68,898.0,1,790.4799999999999,1128.1599999999999,637.75,1181.22,1799.7299999999996,2437.4799999999996,70.06807545029073,2.6593224354418386,1.888622364368633,2.2767558951523124,2.1605800595660187,3.0,3352.0
1079,FORAKER 1207 4LMH-11,2019-04-07,479.69,1152.0,1,883.0200000000003,1362.7100000000003,1117.44,2333.2200000000003,2682.75,3800.1899999999996,64.79881999838558,2.4015510016885906,2.329504471637933,3.0381531562139013,2.7887004571772414,4.0,2936.0
1080,FORAKER 1207 4LMH-11,2019-04-08,506.85,1606.0,1,987.9400000000004,1494.7900000000004,1624.29,3939.2200000000003,3670.6900000000005,5294.98,66.09222700178621,3.1685903127157933,3.2046759396271085,3.715498916938275,3.5422902213688867,5.0,2758.0
1081,FORAKER 1207 4LMH-11,2019-04-09,618.26,1455.0,1,1115.1000000000001,1733.3600000000001,2242.55,5394.22,4785.790000000001,7028.34,64.33170258919094,2.3533788373823312,3.6271956781936407,4.2918034257017315,4.054749157705266,6.0,2947.0
1082,FORAKER 1207 4LMH-11,2019-04-10,664.89,1906.0,1,1136.83,1801.7199999999998,2907.44,7300.22,5922.620000000001,8830.06,63.09692960060387,2.8666395945193943,4.372813548105702,5.209767511413317,4.900905801123371,7.0,2867.0
1083,FORAKER 1207 4LMH-11,2019-04-11,827.82,2050.0,1,1116.07,1943.8899999999999,3735.26,9350.220000000001,7038.6900000000005,10773.949999999999,57.41425697956161,2.4763837549225673,4.51216448020101,6.306674312543121,5.542468966865409,8.0,2717.0
1084,FORAKER 1207 4LMH-11,2019-04-12,658.63,2283.0,1,1131.18,1789.81,4393.89,11633.220000000001,8169.870000000001,12563.759999999998,63.201121906794576,3.466286078678469,6.671257003173254,7.222431443271629,7.019605432978919,9.0,2566.0
1085,FORAKER 1207 4LMH-11,2019-04-13,754.01,2556.0,1,1056.0300000000002,1810.0400000000002,5147.900000000001,14189.220000000001,9225.900000000001,14373.8,58.34290954896024,3.389875465842628,6.827363032320527,8.736399534104144,7.941150471812777,10.0,2436.0
1086,FORAKER 1207 4LMH-11,2019-04-14,765.86,2652.0,1,984.8199999999998,1750.6799999999998,5913.76,16841.22,10210.720000000001,16124.48,56.25357004135535,3.4627738751207793,7.721724597184864,10.368107877581693,9.21040966938561,11.0,2268.0
1087,FORAKER 1207 4LMH-11,2019-04-15,719.89,2790.0,1,896.5599999999996,1616.4499999999996,6633.650000000001,19631.22,11107.28,17740.93,55.4647530081351,3.8755921043492756,9.214810596063288,12.388774872847334,10.975242042748,12.0,2204.0
1088,FORAKER 1207 4LMH-11,2019-04-16,662.82,2757.0,1,781.64,1444.46,7296.47,22388.22,11888.92,19185.39,54.11295570663085,4.1595003168280975,11.008222443498989,15.2102246558518,13.282050039461113,13.0,2094.0
1089,FORAKER 1207 4LMH-11,2019-04-17,643.32,2579.0,1,750.4799999999999,1393.8,7939.79,24967.22,12639.4,20579.19,53.844167025398185,4.008891375987067,12.34189827768451,16.84175461038269,14.764808437365476,14.0,2046.0
1090,FORAKER 1207 4LMH-11,2019-04-18,669.77,2650.0,1,749.88,1419.65,8609.56,27617.22,13389.279999999999,21998.84,52.821470080653675,3.956582110276662,12.854502291831524,17.855230170160556,15.495960271898003,15.0,1944.0
1091,FORAKER 1207 4LMH-11,2019-04-19,655.16,2886.0,1,673.09,1328.25,9264.72,30503.22,14062.369999999999,23327.09,50.674948240165634,4.405030832163136,14.14115635875206,20.892258093271327,17.562273668360625,16.0,1871.0
1092,FORAKER 1207 4LMH-11,2019-04-20,607.81,2926.0,1,643.9499999999999,1251.7599999999998,9872.529999999999,33429.22,14706.32,24578.85,51.44356745702052,4.814004376367615,16.242789687566837,22.837673732432645,19.635433309899664,17.0,1815.0
1093,FORAKER 1207 4LMH-11,2019-04-21,591.09,2882.0,1,634.7399999999999,1225.83,10463.619999999999,36311.22,15341.06,25804.68,51.78042632338905,4.875738043275981,17.702245004990775,24.169045593471346,21.050781919189447,18.0,1777.0
