,Date,X,GROSS WTR
35,2019-04-27,578.76,FORAKER 1207 2UMH-11
36,2019-04-28,661.44,FORAKER 1207 2UMH-11
37,2019-04-29,593.2,FORAKER 1207 2UMH-11
38,2019-04-30,568.04,FORAKER 1207 2UMH-11
39,2019-05-01,550.19,FORAKER 1207 2UMH-11
40,2019-05-02,550.67,FORAKER 1207 2UMH-11
41,2019-05-03,513.26,FORAKER 1207 2UMH-11
42,2019-05-04,478.15,FORAKER 1207 2UMH-11
43,2019-05-05,475.18,FORAKER 1207 2UMH-11
44,2019-05-06,448.44,FORAKER 1207 2UMH-11
45,2019-05-07,444.85,FORAKER 1207 2UMH-11
46,2019-05-08,427.82,FORAKER 1207 2UMH-11
47,2019-05-09,410.15,FORAKER 1207 2UMH-11
48,2019-05-10,390.56,FORAKER 1207 2UMH-11
49,2019-05-11,372.31,FORAKER 1207 2UMH-11
50,2019-05-12,368.89,FORAKER 1207 2UMH-11
51,2019-05-13,364.75,FORAKER 1207 2UMH-11
52,2019-05-14,373.72,FORAKER 1207 2UMH-11
53,2019-05-15,360.42,FORAKER 1207 2UMH-11
54,2019-05-16,345.6,FORAKER 1207 2UMH-11
55,2019-05-17,337.41,FORAKER 1207 2UMH-11
56,2019-05-18,343.58,FORAKER 1207 2UMH-11
57,2019-05-19,336.8,FORAKER 1207 2UMH-11
58,2019-05-20,342.79,FORAKER 1207 2UMH-11
59,2019-05-21,318.75,FORAKER 1207 2UMH-11
60,2019-05-22,311.79,FORAKER 1207 2UMH-11
61,2019-05-23,319.3,FORAKER 1207 2UMH-11
62,2019-05-24,309.53,FORAKER 1207 2UMH-11
63,2019-05-25,328.53,FORAKER 1207 2UMH-11
64,2019-05-26,325.17,FORAKER 1207 2UMH-11
65,2019-05-27,317.61,FORAKER 1207 2UMH-11
66,2019-05-28,326.55,FORAKER 1207 2UMH-11
67,2019-05-29,315.02,FORAKER 1207 2UMH-11
68,2019-05-30,321.61,FORAKER 1207 2UMH-11
69,2019-05-31,324.33,FORAKER 1207 2UMH-11
70,2019-06-01,316.8,FORAKER 1207 2UMH-11
71,2019-06-02,320.06,FORAKER 1207 2UMH-11
72,2019-06-03,301.34,FORAKER 1207 2UMH-11
73,2019-06-04,302.01,FORAKER 1207 2UMH-11
74,2019-06-05,286.79,FORAKER 1207 2UMH-11
75,2019-06-06,292.64,FORAKER 1207 2UMH-11
76,2019-06-07,289.29,FORAKER 1207 2UMH-11
77,2019-06-08,283.51,FORAKER 1207 2UMH-11
78,2019-06-09,278.68,FORAKER 1207 2UMH-11
79,2019-06-10,273.44,FORAKER 1207 2UMH-11
80,2019-06-11,293.86,FORAKER 1207 2UMH-11
81,2019-06-12,337.1,FORAKER 1207 2UMH-11
82,2019-06-13,318.98,FORAKER 1207 2UMH-11
83,2019-06-14,303.12,FORAKER 1207 2UMH-11
84,2019-06-15,307.54,FORAKER 1207 2UMH-11
85,2019-06-16,297.27,FORAKER 1207 2UMH-11
86,2019-06-17,288.14,FORAKER 1207 2UMH-11
87,2019-06-18,277.42,FORAKER 1207 2UMH-11
88,2019-06-19,285.1,FORAKER 1207 2UMH-11
89,2019-06-20,373.02,FORAKER 1207 2UMH-11
90,2019-06-21,413.24,FORAKER 1207 2UMH-11
91,2019-06-22,329.66,FORAKER 1207 2UMH-11
92,2019-06-23,308.0,FORAKER 1207 2UMH-11
93,2019-06-24,275.83,FORAKER 1207 2UMH-11
94,2019-06-25,211.25,FORAKER 1207 2UMH-11
95,2019-06-26,276.06,FORAKER 1207 2UMH-11
96,2019-06-27,306.29,FORAKER 1207 2UMH-11
97,2019-06-28,359.26,FORAKER 1207 2UMH-11
98,2019-06-29,388.73,FORAKER 1207 2UMH-11
99,2019-06-30,370.34,FORAKER 1207 2UMH-11
100,2019-07-01,309.19,FORAKER 1207 2UMH-11
101,2019-07-02,300.62,FORAKER 1207 2UMH-11
102,2019-07-03,291.35,FORAKER 1207 2UMH-11
103,2019-07-04,280.4,FORAKER 1207 2UMH-11
104,2019-07-05,277.03,FORAKER 1207 2UMH-11
105,2019-07-06,422.78,FORAKER 1207 2UMH-11
106,2019-07-07,392.78,FORAKER 1207 2UMH-11
107,2019-07-08,372.59,FORAKER 1207 2UMH-11
108,2019-07-09,339.49,FORAKER 1207 2UMH-11
109,2019-07-10,185.7800000000001,FORAKER 1207 2UMH-11
110,2019-07-11,298.68999999999994,FORAKER 1207 2UMH-11
111,2019-07-12,314.79999999999995,FORAKER 1207 2UMH-11
112,2019-07-13,320.80999999999995,FORAKER 1207 2UMH-11
113,2019-07-14,310.8600000000001,FORAKER 1207 2UMH-11
114,2019-07-15,152.06,FORAKER 1207 2UMH-11
115,2019-07-16,204.29000000000002,FORAKER 1207 2UMH-11
116,2019-07-17,66.17999999999995,FORAKER 1207 2UMH-11
117,2019-07-18,262.75,FORAKER 1207 2UMH-11
118,2019-07-19,-49.19999999999993,FORAKER 1207 2UMH-11
119,2019-07-20,231.04999999999995,FORAKER 1207 2UMH-11
120,2019-07-21,249.88,FORAKER 1207 2UMH-11
121,2019-07-22,355.6500000000001,FORAKER 1207 2UMH-11
122,2019-07-23,348.03999999999996,FORAKER 1207 2UMH-11
123,2019-07-24,188.03999999999996,FORAKER 1207 2UMH-11
124,2019-07-25,125.87000000000012,FORAKER 1207 2UMH-11
125,2019-07-26,156.47000000000003,FORAKER 1207 2UMH-11
126,2019-07-27,231.11,FORAKER 1207 2UMH-11
127,2019-07-28,253.1400000000001,FORAKER 1207 2UMH-11
128,2019-07-29,196.59000000000003,FORAKER 1207 2UMH-11
