,,,,WELL TREATMENT SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator:,Anadarko Petroleum Corporation,,,Formation:,Wolfcamp Upper Delta,,"12,244 ft","5-1/2""",23.00 lbs,P-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Name:,SilverTip 76-7 Unit A 1H,,,AFE:,2121783.CMP,,"11,239 ft","4-1/2""",13.50 lbs,P-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer:,Allie Lay,,,Max Psi:,"12,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Loving County Tx,,,Job Type:,53-Stage SW Plug & Perf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Company:,PumpCo 2,,,,Odessa,,,Julian Weaver/ Jarvis Weaver ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage,AVERAGE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,Total
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0
"Total Fluid, bbl","12,160","12,362","9,238","13,462","14,493","12,362","12,033","14,793","14,056","12,600","11,617","11,661","11,606","16,635","11,730","13,152","11,806","11,438","11,231","11,144","12,714","13,032","11,689","12,234","12,034","11,817","11,277","11,488","11,473","11,577","13,417","12,860","14,385","12,802","13,369","11,582","11,546","11,530","11,813","11,725","11,602","11,886","11,531","11,352","12,093","11,562","11,368","11,883","11,559","11,572","11,422","11,531","11,707","11,635",,,,,,,,,,,,,,,,,,,,,,,"644,488"
"100 Mesh, lb","490,444","443,960","248,520","502,480","504,680","496,340","484,500","498,860","494,120","500,040","500,640","252,460","498,460","508,040","499,200","502,060","511,460","498,440","503,580","497,560","508,010","499,900","497,840","506,460","502,880","491,720","505,200","505,170","495,600","508,600","500,800","501,020","495,640","506,060","500,100","499,840","501,440","503,200","499,480","501,340","500,980","495,980","504,060","499,300","499,140","503,600","505,960","504,920","501,680","502,440","494,880","503,760","503,380","497,760",,,,,,,,,,,,,,,,,,,,,,,"25,993,540"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Total Proppant, lb","490,444","443,960","248,520","502,480","504,680","496,340","484,500","498,860","494,120","500,040","500,640","252,460","498,460","508,040","499,200","502,060","511,460","498,440","503,580","497,560","508,010","499,900","497,840","506,460","502,880","491,720","505,200","505,170","495,600","508,600","500,800","501,020","495,640","506,060","500,100","499,840","501,440","503,200","499,480","501,340","500,980","495,980","504,060","499,300","499,140","503,600","505,960","504,920","501,680","502,440","494,880","503,760","503,380","497,760",,,,,,,,,,,,,,,,,,,,,,,"25,993,540"
"100 Mesh, lb","490,444","443,960","248,520","502,480","504,680","496,340","484,500","498,860","494,120","500,040","500,640","252,460","498,460","508,040","499,200","502,060","511,460","498,440","503,580","497,560","508,010","499,900","497,840","506,460","502,880","491,720","505,200","505,170","495,600","508,600","500,800","501,020","495,640","506,060","500,100","499,840","501,440","503,200","499,480","501,340","500,980","495,980","504,060","499,300","499,140","503,600","505,960","504,920","501,680","502,440","494,880","503,760","503,380","497,760",,,,,,,,,,,,,,,,,,,,,,,"25,993,540"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Delivered Total Prop, lb","490,444","443,960","248,520","502,480","504,680","496,340","484,500","498,860","494,120","500,040","500,640","252,460","498,460","508,040","499,200","502,060","511,460","498,440","503,580","497,560","508,010","499,900","497,840","506,460","502,880","491,720","505,200","505,170","495,600","508,600","500,800","501,020","495,640","506,060","500,100","499,840","501,440","503,200","499,480","501,340","500,980","495,980","504,060","499,300","499,140","503,600","505,960","504,920","501,680","502,440","494,880","503,760","503,380","497,760",,,,,,,,,,,,,,,,,,,,,,,"25,993,540"
"Plexslick 957, gal",497,511,366,570,596,503,483,603,606,514,473,495,472,531,479,536,482,468,462,454,536,550,477,502,494,486,461,471,471,476,556,530,596,533,553,477,475,477,489,482,473,496,402,474,500,478,472,492,478,481,474,477,487,485,,,,,,,,,,,,,,,,,,,,,,,"26,365"
"Chemplex 4-N-1, gal",8,7,8,7,8,7,8,7,8,7,7,7,8,7,8,7,8,7,7,7,8,7,7,8,8,8,8,7,7,7,7,7,8,8,8,7,8,8,7,7,8,8,8,7,7,8,7,8,8,8,7,8,8,8,,,,,,,,,,,,,,,,,,,,,,,398
"Payzone 845, gal",101,99,67,111,118,102,99,123,116,104,96,98,96,137,98,108,98,95,93,92,105,110,97,101,99,98,92,95,96,96,113,107,122,107,113,96,94,96,98,99,98,99,95,96,100,96,95,100,96,97,95,95,98,96,,,,,,,,,,,,,,,,,,,,,,,"5,340"
"Payzone 850, gal",38,38,28,42,46,38,37,46,45,39,36,37,36,52,37,41,37,35,35,35,39,41,36,38,37,37,35,36,36,36,43,40,46,40,42,36,35,36,37,37,37,37,36,36,38,36,36,38,36,36,36,36,37,36,,,,,,,,,,,,,,,,,,,,,,,"2,014"
"Payzone 217, gal",101,99,67,111,118,102,99,123,116,104,96,98,96,137,98,108,98,95,93,92,105,110,97,101,99,98,92,95,96,96,113,107,122,107,113,96,94,96,98,99,98,99,95,96,100,96,95,100,96,97,95,95,98,96,,,,,,,,,,,,,,,,,,,,,,,"5,340"
"Stim741 Gel, gal",19,30,20,20,20,20,20,20,20,20,20,30,20,30,20,20,20,30,20,30,30,20,30,20,20,30,20,20,20,20,20,20,20,20,20,20,20,20,20,15,20,10,20,10,10,10,10,20,10,10,10,10,10,0,,,,,,,,,,,,,,,,,,,,,,,"1,015"
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"15% HCl Acid, gal","1,232","1,237","1,264","1,111","1,251","1,206","1,261","1,227","1,251","1,211","1,190","1,240","1,269","1,240","1,251","1,206","1,261","1,172","1,150","1,219","1,275","1,150","1,219","1,259","1,269","1,269","1,251","1,206","1,227","1,206","1,172","1,230","1,264","1,269","1,251","1,206","1,275","1,293","1,150","1,219","1,259","1,269","1,256","1,211","1,140","1,275","1,211","1,256","1,269","1,259","1,219","1,275","1,251","1,277",,,,,,,,,,,,,,,,,,,,,,,"65,304"
